Name,Price,Volume,24HrDelta,Time
BTG,$ 16.56,$ 3.02 M,1.72%, 2019-04-28 14:07:45
HPB,$ 0.3361,$ 2.98 M,-3.15%, 2019-04-28 14:07:45
XTZ,$ 1.22,$ 2.97 M,-0.81%, 2019-04-28 14:07:45
MCO,$ 4.58,$ 2.91 M,-2.73%, 2019-04-28 14:07:45
WTC,$ 2.06,$ 2.82 M,-5.54%, 2019-04-28 14:07:45
OCN,$ 0.002485,$ 2.72 M,-2.08%, 2019-04-28 14:07:45
ORS*,$ 0.006345,$ 2.68 M,4.35%, 2019-04-28 14:07:45
XET,$ 3.34,$ 2.58 M,4.82%, 2019-04-28 14:07:45
BCD,$ 0.9095,$ 2.58 M,-4.97%, 2019-04-28 14:07:45
TRIO,$ 0.002597,$ 2.53 M,2.50%, 2019-04-28 14:07:45
KNC,$ 0.2324,$ 2.51 M,1.10%, 2019-04-28 14:07:45
SKM,$ 0.003273,$ 2.43 M,-3.32%, 2019-04-28 14:07:45
HC,$ 1.15,$ 2.40 M,-2.24%, 2019-04-28 14:07:45
LOOM,$ 0.06414,$ 2.28 M,8.40%, 2019-04-28 14:07:45
MOF,$ 0.05541,$ 2.17 M,-6.76%, 2019-04-28 14:07:45
ITC,$ 0.1227,$ 2.13 M,0.74%, 2019-04-28 14:07:45
REP,$ 21.35,$ 2.12 M,-2.06%, 2019-04-28 14:07:45
DROP,$ 0.0005986,$ 2.11 M,0.80%, 2019-04-28 14:07:45
THETA,$ 0.09888,$ 2.08 M,-3.61%, 2019-04-28 14:07:45
ZIP,$ 0.0004759,$ 2.08 M,-10.00%, 2019-04-28 14:07:45
VIB,$ 0.03802,$ 2.04 M,-0.14%, 2019-04-28 14:07:45
KAN,$ 0.004230,$ 2.06 M,0.00%, 2019-04-28 14:07:45
TNB,$ 0.005341,$ 2.04 M,-3.81%, 2019-04-28 14:07:45
KCS,$ 1.16,$ 2.03 M,-1.17%, 2019-04-28 14:07:45
GNT,$ 0.07482,$ 2.03 M,-0.35%, 2019-04-28 14:07:45
AGI,$ 0.03823,$ 1.95 M,3.29%, 2019-04-28 14:07:45
QLC,$ 0.03162,$ 1.91 M,-8.70%, 2019-04-28 14:07:45
